Name;Company;Industry;CO2_emissions_t;Source_CO2_emissions;Source;City;Province;Latitude;Longitude
Fábrica de aluminio de Aluar;Aluar;Aluminium;612057.60;Industrial point source;Aluminium;Puerto Madryn;Chubut;-42.63615141;-65.1028453
Bunge Campana;Bunge Argentina S.A;Ammonia;27027.00;Industrial point source;Ammonia;Campana;Buenos Aires;-34.09354048;-59.00465275
Profertil Bahia Blanca;Profertil S.A.;Ammonia;710621.00;Industrial point source;Ammonia;Bahia Blanca;Buenos Aires;-38.78424491;-62.28168815
Austin Powder;Austin Powder;Ammonia;54600.00;Industrial point source;Ammonia;El Galpón;Salta;-25.37919283;-64.65198658
Bioenergía la Corona;Bioenergia La Corona S.A.;Bioethanol;24300.00;Biogenic point source;Bioethanol;Concepción;Tucumán;-27.3548157;-65.60294134
Bioenergías Agropecuarias S.A.;BIOENERGÍASAGROPECUARIAS S.A.;Bioethanol;24750.00;Biogenic point source;Bioethanol;General Obligado;Santa Fe;-28.48761165;-59.39684115
Ingenio Santa Rosa;Bioenergía Santa Rosa S.A.;Bioethanol;24300.00;Biogenic point source;Bioethanol;Monteros;Tucumán;-27.22139848;-65.51695443
Ingenio Ledesma;Bio Ledesma S.A.;Bioethanol;74250.00;Biogenic point source;Bioethanol;Libertador General San Martin;Jujuy;-23.82436777;-64.78800974
Bio San Isidro;Bio San Isidro S.A.;Bioethanol;10125.00;Biogenic point source;Bioethanol;Campo Santo;Salta;-24.6810765;-65.09802875
Biotrinidad;Biotrinidad S.A.;Bioethanol;21600.00;Biogenic point source;Bioethanol;San Miguel de Tucumán;Tucumán;-26.82826317;-65.20884372
Compañía Bioenergética La Florida;Compañía Bioenergética La Florida S.A.;Bioethanol;93750.00;Biogenic point source;Bioethanol;La Florida;Tucumán;-26.81731107;-65.08538766
Energías Ecológicas de Tucumán;Energías Ecológicas de Tucumán - Grupo Colombres;Bioethanol;24750.00;Biogenic point source;Bioethanol;Aguilares;Tucumán;-27.4571049;-65.60985513
Fronterita Energía S.A.;Fronterita Energia S.A.;Bioethanol;24000.00;Biogenic point source;Bioethanol;Juan XXIII;Tucumán;-27.0235712;-65.30157927
Ingenio Río Grande;Rio Grande Energia S.A.;Bioethanol;16200.00;Biogenic point source;Bioethanol;La Mendieta;Jujuy;-24.31258742;-64.9683694
ACA;Aca Bio Cooperativa Ltda.;Bioethanol;93750.00;Biogenic point source;Bioethanol;Villa María;Córdoba;-32.41597156;-63.16162482
Bio IV;Bioetanol Rio Cuarto A.A.;Bioethanol;75000.00;Biogenic point source;Bioethanol;Río Cuarto;Córdoba;-33.17998671;-64.38329425
Diaser;Derivados San Luis;Bioethanol;69300.00;Biogenic point source;Bioethanol;San Luis;San Luis;-33.32563333;-66.36372385
Maíz Energía;MAÍZ ENERGÍA S.A.;Bioethanol;44100.00;Biogenic point source;Bioethanol;Ciudad de Córdoba;Córdoba;-31.37191425;-64.18185929
Promaíz;Promaiz S.A.;Bioethanol;165000.00;Biogenic point source;Bioethanol;Alejandro Roca;Córdoba;-33.36537538;-63.71712134
Vicentin;Vicentin S.A.I.C.;Bioethanol;86250.00;Biogenic point source;Bioethanol;Avellaneda;Santa Fe;-31.62099492;-60.71499331
Seaboard Energía Renovables y Alimentos;Seaboard Energía Renovables y Alimentos;Bioethanol;185625.00;Biogenic point source;Bioethanol;Orán;Salta;-23.2022408;-64.29616772
Bioenergética Leales S.A.;Bioenergética Leales S.A.;Bioethanol;31500.00;Biogenic point source;Bioethanol;Cevil Pozo;Tucumán;-26.84424771;-65.14264897
Bio Atar S.A.;Bio Atar S.A.;Bioethanol;49500.00;Biogenic point source;Bioethanol;Alderetes;Tucumán;-26.83469939;-65.15279485
Arauco Argentina S.A. ;Arauco Argentina S.A. ;Cellulose and paper;875000.00;Industrial point source;Cellulose pulp;Puerto Esperanza;Misiones;-25.97573961;-54.63376934
Celulosa Argentina S.A.;Celulosa Argentina S.A.;Cellulose and paper;416400.00;Industrial point source;Cellulose pulp;Capitan Bermudez;Santa Fe;-32.73646168;-60.70218034
Papel Prensa S.A.I.C.F.;Papel Prensa S.A.I.C.F.;Cellulose and paper;421762.50;Industrial point source;Cellulose pulp;San Pedro;Buenos Aires;-33.7216403;-59.62774924
Papel Misionero;Papel Misionero;Cellulose and paper;272137.50;Industrial point source;Cellulose pulp;Puerto Leoni;Misiones;-26.93561856;-55.11980442
Papelera del NOA S.A.;Papelera del NOA S.A.;Cellulose and paper;85425.00;Industrial point source;Cellulose pulp;Río Blanco;Jujuy;-24.23195846;-65.23014529
Fábrica de Papel Ledesma;Fábrica de Papel Ledesma;Cellulose and paper;212250.00;Industrial point source;Cellulose pulp;Libertador General San Martín;Jujuy;-23.82765684;-64.79551334
Fana Química SA;Fana Química SA;Cellulose and paper;4000.00;Industrial point source;Cellulose pulp;San José;Entre Ríos;;
Fábrica L'Amalí;Loma Negra;Cement;2442352.94;Industrial point source;Cement;Olavarría;Buenos Aires;-37.03607735;-60.29810249
Fábrica Olavarría;Loma Negra;Cement;1144852.94;Industrial point source;Cement;Olavarría;Buenos Aires;-36.93725544;-60.16484634
Fábrica Sierras Bayas;Loma Negra;Cement;;Industrial point source;Cement;Sierras Bayas;Buenos Aires;-36.9383899;-60.16503118
Fábrica Barker;Loma Negra;Cement;;Industrial point source;Cement;Benito Juarez;Buenos Aires;-37.68283558;-59.388828
Planta Ramallo;Loma Negra;Cement;;Industrial point source;Cement;Ramallo;Buenos Aires;-33.38022978;-60.15325117
Fábrica Catamarca;Loma Negra;Cement;1373823.53;Industrial point source;Cement;El Alto;Catamarca;-28.46620076;-65.21491434
Fábrica San Juan;Loma Negra;Cement;;Industrial point source;Cement;Rivadavia;San Juan;-31.54717154;-68.67430483
Fábrica Zapala;Loma Negra;Cement;305294.12;Industrial point source;Cement;Zapala;Neusaquén;-38.89661841;-70.03773085
Fábrica LomaSer;Loma Negra;Cement;;Industrial point source;Cement;Vicente Casares;Buenos Aires;-34.95797683;-58.64295248
Planta Holcim Capdeville Mendoza;HOLCIM;Cement;534264.71;Industrial point source;Cement;Las Heras;Mendoza;-32.7406102;-68.83721964
Planta Holcim Malagueño;HOLCIM;Cement;2366029.41;Industrial point source;Cement;Malagueño;Córdoba;-31.47714495;-64.35835512
Planta Holcim Puesto Viejo;HOLCIM;Cement;763235.29;Industrial point source;Cement;Puesto Viejo;Jujuy;-24.49038325;-64.9570812
Planta Holcim Campana;HOLCIM;Cement;;Industrial point source;Cement;Campana;Buenos Aires;-34.14560719;-59.02034634
Planta Campana;Cementos Avellaneda;Cement;;Industrial point source;Cement;Campana;Buenos Aires;-34.16978546;-59.00184583
San Jacinto;Cementos Avellaneda;Cement;1831764.71;Industrial point source;Cement;Olavarría;Buenos Aires;;
El Grande;Cementos Avellaneda;Cement;839558.82;Industrial point source;Cement;La Calera;San Luis;;
Fábrica Comodoro Rivadavia;PCR;Cement;;Industrial point source;Cement;Comodoro Rivadavia;Chubut;-45.80214455;-67.4236816
Fábrica Pico Truncado;PCR;Cement;457941.18;Industrial point source;Cement;Pico Truncado;Santa Cruz;-46.78713825;-67.92954422
Planta siderúrgica Ternium Siderar;Ternium Argentina S.A.;Steel;5286272.00;Industrial point source;Slabs and hot rolled flat products . cold rolled flat products . tinplate;Ramallo/San Nicolas;Buenos Aires;-33.32260493;-60.15945416
;Ternium Argentina S.A.;Steel;;Industrial point source;Cold rolled flat products ;Ensenada;Buenos Aires;-34.80606584;-57.92924997
;Ternium Argentina S.A.;Steel;;Industrial point source;Galvanized. electro zinced and prepainted ;Haedo;Buenos Aires;-34.58262707;-58.63146321
;Ternium Argentina S.A.;Steel;;Industrial point source;Galvanized. electro zinced and prepainted ;Canning;Buenos Aires;-34.79942658;-58.51610678
;Ternium Argentina S.A.;Steel;;Industrial point source;Galvanized. electro zinced and prepainted ;Florencio Varela;Buenos Aires;-34.72722318;-58.18102379
;Ternium Argentina S.A.;Steel;;Industrial point source;Seam pipes;Rosario;Santa Fe;-32.88917097;-60.70918231
Planta siderúrgica TenarisSiderca;Ternaris S.A. / Siderca S.A.I.C.;Steel;650000.00;Industrial point source;Seamless pipes ;Campana;Buenos Aires;-34.152554;-58.977388
;Ternaris S.A. / Siderca S.A.I.C.;Steel;;Industrial point source;Seam pipes ;Valentin Alsina;Buenos Aires;-34.66288154;-58.40681255
;Ternaris S.A. / Siderca S.A.I.C.;Steel;;Industrial point source;Seam pipes ;Villa Constitución;Santa Fe;-33.23981167;-60.31761739
;Ternaris S.A. / Siderca S.A.I.C.;Steel;;Industrial point source;Sucker rods and accesories ;Villa Mercedes;San Luis;-34.69235624;-58.54186997
Planta siderúrgia ArcelorMittal Acindar;Acindar Industria Argentina de Aceros S.A.;Steel;1015000.00;Industrial point source;Billets. rolled non-flat products ;Villa Constitución;Santa Fe;-33.256309;-60.292472
;Acindar Industria Argentina de Aceros S.A.;Steel;;Industrial point source;Billets. rolled non-flat products ;Rosario;Santa Fe;-32.97077123;-60.72206377
;Acindar Industria Argentina de Aceros S.A.;Steel;;Industrial point source;Billets. rolled non-flat products ;La Tablada;Buenos Aires;;
;Acindar Industria Argentina de Aceros S.A.;Steel;;Industrial point source;Billets. rolled non-flat products ;San Nicolas;Buenos Aires;-33.34700797;-60.25863236
;Acindar Industria Argentina de Aceros S.A.;Steel;;Industrial point source;Billets. rolled non-flat products ;Villa Mercedes;San Luis;-33.72087734;-65.46444205
Planta Siderurgica ACERBRAG;Acerbrag S.A. (grupo brasileño Votorantim);Steel;;Industrial point source;Rolled non-flat products ;Bragado;Buenos Aires;-35.13711789;-60.4520892
Aceros Zapla;Aceros Zapla S.A.;Steel;;Industrial point source;Billets. rolled non-flat products ;Palpalá;Jujuy;-24.2460988;-65.19816083
Planta siderúrgica Gerdau Sipar Pérez;Gerdau SA;Steel;103031.00;Industrial point source;Rolled non-flat products ;Pérez;Santa Fe;-32.9912336;-60.7588733
ALUAR SA - GENERADOR;Aluar;Thermal power plant;210445.00;Industrial point source;Electrical energy;Puerto Madryn;Chubut;-42.7438848;-65.04839927
ARCOR MARIO SEVESO ARROYITO;;Thermal power plant;93267.00;Industrial point source;;;Córdoba;;
C. TERMICAS MENDOZA PLUS;;Thermal power plant;788702.00;Industrial point source;;;Mendoza;;
C. TERMICAS MENDOZA SA;;Thermal power plant;297745.00;Industrial point source;;;Mendoza;;
C.COSTA ATLANTICA;;Thermal power plant;509899.00;Industrial point source;;;Buenos Aires;;
C.T. AES PARANA;;Thermal power plant;1717893.00;Industrial point source;;;Buenos Aires;;
C.T. AGUA DEL CAJON;;Thermal power plant;1108638.00;Industrial point source;Electrical energy;Neuquén;Neuquén;-38.93531878;-68.35746075
C.T. ALMIRANTE BROWN;Excell Power S.R.L.;Thermal power plant;7094.00;Industrial point source;Electrical energy;Burazco;Buenos Aires;-34.83766034;-58.40568505
C.T. LOMA DE LA LATA S.A.;C.T. LOMA DE LA LATA S.A.;Thermal power plant;1779653.00;Industrial point source;Electrical energy;Neuquén;Neuquén;-38.51178974;-68.60637825
C.T. PATAGONICAS SA;CENTRALES TERMICAS PATAGONICAS S.A.;Thermal power plant;27712.00;Industrial point source;Electrical energy;Comodoro Rivadavia;Chubut;-45.81390612;-67.44427712
C.T. SALTA (TERMOANDES);AES;Thermal power plant;1004183.00;Industrial point source;Electrical energy;Cobos;Salta;-24.74271171;-65.05151496
C.TERMICA ALTO VALLE;;Thermal power plant;198282.00;Industrial point source;Electrical energy;Neuquén;Neuquén;-38.95161594;-68.02174487
C.TERMICA GUEMES S.A.;;Thermal power plant;139062.00;Industrial point source;;;Salta;;
C.TERMICA SAN NICOLAS;AES;Thermal power plant;2158549.00;Industrial point source;Electrical energy;San Nicolás de Los Arroyos;Buenos Aires;-33.35809074;-60.17476179
C.TERMICA SORRENTO;;Thermal power plant;20821.00;Industrial point source;;;Santa Fe;;
CAPEX S.A. AUTOGENERADOR;;Thermal power plant;1075683.00;Industrial point source;;;Neuquén;;
CENTRAL DIQUE S.A.;CENTRAL DIQUE S.A.;Thermal power plant;478.00;Industrial point source;Electrical energy;Ensenada;Buenos Aires;-34.88987358;-57.93335436
CENTRAL DOCK SUD;Central Dock Sud;Thermal power plant;2101890.00;Industrial point source;Electrical energy;Dock Sud;Buenos Aires;-34.65327861;-58.34352059
CENTRAL PIEDRA BUENA S.A.;Pampa Energía;Thermal power plant;243763.00;Industrial point source;Electrical energy;Ingeniero White;Buenos Aires;-38.78482523;-62.25607271
CENTRAL PUERTO SA;Central Puerto S.A.;Thermal power plant;3481800.00;Industrial point source;Electrical energy;Luján de Cuyo;Mendoza;-33.05433167;-68.98071723
CENTRAL TÉRMICA LOMITA AUTOG.;;Thermal power plant;59300.00;Industrial point source;;;Neuquén;;
CENTRAL TERMICA PIQUIRENDA;Pampa Energía;Thermal power plant;25963.00;Industrial point source;Electrical energy;Piquirenda;Salta;-22.35004604;-63.76700533
COOP. MNO. MORENO BS. AS.GENER;;Thermal power plant;668.00;Industrial point source;;;Buenos Aires;;
CT 9 de JULIO C Cost ATLANTICA;Centrales de la Costa Atlántica S.A.;Thermal power plant;221258.00;Industrial point source;Electrical energy;Mar del Plata;Buenos Aires;-38.04949391;-57.54553583
CT ACONCAGUA ENERGÍA AUTOGENER;;Thermal power plant;17.00;Industrial point source;;;Mendoza;;
CT ALEM - AGGREKO;;Thermal power plant;35577.00;Industrial point source;;;Misiones;;
CT ANCHORIS - METHAX;EMESA;Thermal power plant;50825.00;Industrial point source;Electrical energy;Tupungato;Mendoza;-33.3133564;-68.89151146
CT AÑATUYA - SULLAIR;;Thermal power plant;11557.00;Industrial point source;Electrical energy;Añatuya;Santiago del Estero;-28.44584131;-62.85560319
CT AÑATUYA II - SULLAIR;;Thermal power plant;4840.00;Industrial point source;Electrical energy;Añatuya;Santiago del Estero;-28.44584131;-62.85560319
CT ARISTOBU.DEL VALLE-SOENERGY;;Thermal power plant;24495.00;Industrial point source;Electrical energy;Aristóbulo del Valle;Misiones;-27.09123769;-54.86344241
CT ARRECIFES-AGGREKO;;Thermal power plant;8081.00;Industrial point source;;;Buenos Aires;;
CT BANDERA SgoEstero - ENARSA;;Thermal power plant;4539.00;Industrial point source;;;Santiago del Estero;;
CT BARILOCHE;;Thermal power plant;1392.00;Industrial point source;;;Río Negro;;
CT BARKER CIERRE CC;;Thermal power plant;636102.00;Industrial point source;Electrical energy;Benito Juárez;Buenos Aires;-37.54858826;-59.4506657
CT BARRAGAN - ENARSA;ENARSA;Thermal power plant;319657.00;Industrial point source;Electrical energy;Ensenada;Buenos Aires;-34.85965751;-57.95577403
CT BARRANQUERAS Chaco;;Thermal power plant;3373.00;Industrial point source;;;Chaco;;
CT BELL VILLE - SULLAIR;SULLAIR ARGENTINA S.A.;Thermal power plant;6459.00;Industrial point source;Electrical energy;Bell Ville;Córdoba;-32.61039562;-62.68583225
CT BRACHO CIERRE CC- Y-GEN S.A;;Thermal power plant;1242878.00;Industrial point source;;;Tucumán;;
CT BRAGADO - EMGASUD;;Thermal power plant;7559.00;Industrial point source;;;Buenos Aires;;
CT BRAGADO 2 - GENNEIA;Genneia;Thermal power plant;79138.00;Industrial point source;Electrical energy;Bragado;Buenos Aires;-35.13651396;-60.43241426
CT BRAGADO 3 - GENNEIA;Genneia;Thermal power plant;92453.00;Industrial point source;Electrical energy;Bragado;Buenos Aires;-35.13651396;-60.43241426
CT BRIGADIER LOPEZ;Central Puerto S.A.;Thermal power plant;64572.00;Industrial point source;Electrical energy;Santa Fe;Santa Fe;-31.71284154;-60.77930021
CT CAIMANCITO -SULLAIR;;Thermal power plant;62571.00;Industrial point source;Electrical energy;Libertador Gral San Martín;Jujuy;-23.73226891;-64.61399317
CT CAÑADA DE GOMEZ - SECCO;Secco;Thermal power plant;105744.00;Industrial point source;Electrical energy;Cañada de Gómez;Santa Fe;-32.78187222;-61.41843352
CT CAPITAN SARMIENTO - SECCO;Secco;Thermal power plant;10205.00;Industrial point source;;;Buenos Aires;;
CT CASTELLI - AGGREKO;;Thermal power plant;9440.00;Industrial point source;;;Chaco;;
CT CATAMARCA - SECCO;;Thermal power plant;10013.00;Industrial point source;;;Catamarca;;
CT CERES - SECCO;;Thermal power plant;3924.00;Industrial point source;;;Santa Fe;;
CT CHARATA - SULLAIR;;Thermal power plant;7334.00;Industrial point source;;;Chaco;;
