Name;Company;Type of industry;CO2 emissions [t];Type of source;Location (city);Provincia;Location (latitude);Location (longitude);Source CO2 emissions;Primary product;Installed Capacity [t/a];Columna1;Utility of the installed capacity;Process;Year of emission data
CT JUNIN;;Thermal power plant;14479;Industrial point source;;Buenos Aires;-34.55914506;-60.92796994;CAMMESA;;22;;;;2021
CT LA PAZ Entre Rios - ENARSA;;Thermal power plant;2674;Industrial point source;;Entre Ríos;-30.74961413;-59.60149196;CAMMESA;;10.8;;;;2021
CT LA PLATA - SULLAIR;;Thermal power plant;14048;Industrial point source;San Carlos;Buenos Aires;-34.9338664;-58.01640058;CAMMESA;Electrical energy;40.4;;;;2021
CT LA RIOJA - SECCO;;Thermal power plant;7688;Industrial point source;;La Rioja;-29.35906756;-66.83395555;CAMMESA;;19.2;;;;2021
CT LA RIOJA SUR- SECCO;;Thermal power plant;3506;Industrial point source;;La Rioja;-29.42128793;-66.82983567;CAMMESA;;10;;;;2021
CT LAGUNA BLANCA - SECCO;;Thermal power plant;4457;Industrial point source;Laguna Blanca;Formosa;-25.12695055;-58.25915073;CAMMESA;Electrical energy;7;;;;2021
CT LAS ARMAS II - EMGASUD;;Thermal power plant;606;Industrial point source;;Buenos Aires;-37.07639032;-57.81773168;CAMMESA;;;;;;2021
CT LAS PALMAS 2 - ARAUCARIA;;Thermal power plant;100667;Industrial point source;;Buenos Aires;-34.07978591;-59.12506332;CAMMESA;;212.2;;;;2021
CT LAS PALMAS -TURBODISEL;;Thermal power plant;543;Industrial point source;;Chaco;-27.03271109;-58.70358987;CAMMESA;;7.2;;;;2021
CT LIBERTADOR GSM - SULLAIR;;Thermal power plant;3331;Industrial point source;;Jujuy;-23.73223944;-64.61405755;CAMMESA;;15.26;;;;2021
CT LINCOLN;;Thermal power plant;5898;Industrial point source;Lincoln;Buenos Aires;-34.85716731;-61.52070383;CAMMESA;Electrical energy;15;;;;2021
CT LOBOS BS.AS - SULLAIR;;Thermal power plant;23328;Industrial point source;;Buenos Aires;-35.18956801;-59.07850788;CAMMESA;;19.68;;;;2021
CT LOMA CAMPANA 1 -YPF;;Thermal power plant;93992;Industrial point source;;Neuquén;-37.92686761;-68.71536317;CAMMESA;;105;;;;2021
CT LOMA CAMPANA 2 -Y-GEN ELECT;;Thermal power plant;164946;Industrial point source;;Neuquén;-37.92686761;-68.71536317;CAMMESA;;107;;;;2021
CT LOMA DE LA LATA II(NEUQUEN);;Thermal power plant;228867;Industrial point source;;Neuquén;-38.51180658;-68.6063997;CAMMESA;;105;;;;2021
CT LUJAN II - ARAUCARIA ENERGY;;Thermal power plant;68363;Industrial point source;;Buenos Aires;-34.55594176;-59.03483213;CAMMESA;;127.3;;;;2021
CT MAGDALENA - APR ENERGY;;Thermal power plant;4433;Industrial point source;;Buenos Aires;-35.100081;-57.483894;CAMMESA;;25;;;;2021
CT MATHEU II - APR ENERGY;;Thermal power plant;1875;Industrial point source;;Buenos Aires;-34.39580865;-58.83489199;CAMMESA;;229;;;;2021
CT MIRAMAR I - ENERGYST;;Thermal power plant;23587;Industrial point source;;Buenos Aires;-38.24736618;-57.82379749;CAMMESA;;20;;;;2021
CT ORAN - SECCO;;Thermal power plant;3717;Industrial point source;;Salta;-23.1386542;-64.31143463;CAMMESA;;15;;;;2021
CT PARQUE INDUSTR.CATAM-SECCO;;Thermal power plant;8843;Industrial point source;;Catamarca;-28.52995995;-65.80098711;CAMMESA;;15;;;;2021
CT PASO LA PATRIA-TURBODISEL;;Thermal power plant;1189;Industrial point source;;Corrientes;-27.32287605;-58.56667495;CAMMESA;;7.2;;;;2021
CT PEREZ - SECCO;;Thermal power plant;109776;Industrial point source;;Santa Fe;-33.01941125;-60.82494636;CAMMESA;;81.088;;;;2021
CT PIEDRABUENA MG(L.LATA);;Thermal power plant;173945;Industrial point source;;Buenos Aires;-38.03244943;-62.3371078;CAMMESA;;100.02;;;;2021
CT PILAR - EPEC;;Thermal power plant;1055603;Industrial point source;;Córdoba;-31.66577634;-63.83191433;CAMMESA;;466;;;;2021
CT PILAR BS AS- PAMPA ENERGÍA;;Thermal power plant;187528;Industrial point source;;Buenos Aires;-34.2986356;-58.95101224;CAMMESA;;100.398;;;;2021
CT PIRANE - SULLAIR;;Thermal power plant;10675;Industrial point source;;Formosa;-25.67861;-59.07556;CAMMESA;;16.25;;;;2021
CT PRESIDENCIA ROCA;;Thermal power plant;1276;Industrial point source;;Chaco;-26.15352072;-59.60000813;CAMMESA;;6;;;;2021
CT RAFAELA - SECCO;;Thermal power plant;7300;Industrial point source;;Santa Fe;-31.25667;-61.52028;CAMMESA;;19.2;;;;2021
CT REALICO - SECCO;;Thermal power plant;6721;Industrial point source;;La Pampa;-35.055;-64.24056;CAMMESA;;24;;;;2021
CT RENOVA - ALBANESI ENERGIA;;Thermal power plant;457321;Industrial point source;;Santa Fe;-32.60348225;-60.79474192;CAMMESA;;172;;;;2021
CT RIO TERCERO II - SoENERGY;;Thermal power plant;30138;Industrial point source;;Córdoba;-32.16105961;-64.15478473;CAMMESA;;60;;;;2021
CT ROCA SA;;Thermal power plant;502028;Industrial point source;;Río Negro;-38.64532632;-67.6716524;CAMMESA;;193.13;;;;2021
CT RUFINO Sta Fe - ENARSA;;Thermal power plant;8965;Industrial point source;;Santa Fe;-34.28871794;-62.66959238;CAMMESA;;31.9;;;;2021
CT SAENZ PEÑA - APR ENERGY;;Thermal power plant;3654;Industrial point source;;Chaco;-26.81555556;-60.41138889;CAMMESA;;20;;;;2021
CT SAENZ PEÑA II- AGGREKO;;Thermal power plant;4626;Industrial point source;;Chaco;-26.81477999;-60.41267637;CAMMESA;;15;;;;2021
CT SALTO 2 - SoENERGY;;Thermal power plant;103648;Industrial point source;;Buenos Aires;-34.20426055;-60.24871635;CAMMESA;;63;;;;2021
CT SAN MARTIN Chaco;;Thermal power plant;1320;Industrial point source;;Chaco;-26.55845431;-59.32413238;CAMMESA;;15;;;;2021
CT SAN PEDRO - CIERRE CC;;Thermal power plant;33804;Industrial point source;;Buenos Aires;-33.77667601;-59.72699232;CAMMESA;;50.46;;;;2021
CT SAN PEDRO - SPI ENERGY SA;;Thermal power plant;46087;Industrial point source;;Buenos Aires;-33.77822014;-59.72715283;CAMMESA;;108;;;;2021
CT SAN SALVADOR E.Rios -ENARSA;;Thermal power plant;1815;Industrial point source;;Entre Ríos;-31.60970051;-58.48874915;CAMMESA;;10.8;;;;2021
CT SAN VICENTE BsAs - ENARSA;;Thermal power plant;4595;Industrial point source;;Buenos Aires;-35.04344836;-58.32534848;CAMMESA;;27.6;;;;2021
CT SANTA ROSA -TURBODISEL;;Thermal power plant;1988;Industrial point source;;Corrientes;-28.26247793;-58.12262641;CAMMESA;;7.2;;;;2021
CT TEREVINTOS - SECCO;;Thermal power plant;2652;Industrial point source;;Catamarca;-28.42876224;-65.78746942;CAMMESA;;8;;;;2021
CT TINOGASTA - SULLAIR;;Thermal power plant;4169;Industrial point source;;Catamarca;-28.04904452;-67.56608993;CAMMESA;;15;;;;2021
CT VENADO TUERTO - SECCO;;Thermal power plant;7617;Industrial point source;;Santa Fe;-33.75246685;-61.99327364;CAMMESA;;19.2;;;;2021
CT VIALE - AGGREKO;;Thermal power plant;4529;Industrial point source;;Entre Ríos;-31.89194;-60.01056;CAMMESA;;10;;;;2021
CT VILLA ANGELA - AGGREKO;;Thermal power plant;4977;Industrial point source;;Chaco;-27.60214589;-60.74649601;CAMMESA;;15;;;;2021
CT VILLA GESELL-CATLANT.;;Thermal power plant;333196;Industrial point source;;Buenos Aires;-37.24848426;-56.99724588;CAMMESA;;80;;;;2021
CT VILLA MARIA CIERRE CC-UENSA;;Thermal power plant;630749;Industrial point source;;Córdoba;-32.42693676;-63.17188574;CAMMESA;;105.1;;;;2021
CT VILLA OCAMPO - SECCO;;Thermal power plant;32945;Industrial point source;;Santa Fe;-28.51609309;-59.34577171;CAMMESA;;50.35;;;;2021
CT VUELTA DE OBLIGADO;;Thermal power plant;1829953;Industrial point source;;Santa Fe;-32.48882628;-60.79097087;CAMMESA;;846.565;;;;2021
CT ZAPPALORTO - APR ENERGY;;Thermal power plant;15249;Industrial point source;;Buenos Aires;-34.71869221;-58.73797554;CAMMESA;;109.04;;;;2021
EDECAT GENERACION;;Thermal power plant;397;Industrial point source;;Catamarca;-28.19232818;-65.11339956;CAMMESA;;4.8;;;;2021
EDELAR GENERACION;;Thermal power plant;18733;Industrial point source;;La Rioja;;;CAMMESA;;19.48;;;;2021
EDEN GENERACION;;Thermal power plant;1627;Industrial point source;;Buenos Aires;-34.05179982;-58.92965791;CAMMESA;;27.728;;;;2021
ELECTROPATAGONIA-C.RIV-C.COMB.;;Thermal power plant;15137;Industrial point source;;Chubut;-45.79136316;-67.52324552;CAMMESA;;63;;;;2021
EMP.DIS.S.ESTERO GENERACION;;Thermal power plant;4901;Industrial point source;;Santiago del Estero;;;CAMMESA;;6.05;;;;2021
EMSA GENERACION;;Thermal power plant;10472;Industrial point source;;Misiones;;;CAMMESA;;33.244;;;;2021
ENDESA COSTANERA SA;;Thermal power plant;2518331;Industrial point source;;Buenos Aires;-34.62334842;-58.34179385;CAMMESA;;2303.6;;;;2021
ENERGIA DEL SUR S.A.;;Thermal power plant;226761;Industrial point source;;Chubut;-45.79337549;-67.51392216;CAMMESA;;125.1;;;;2021
EPEC GENERACION;;Thermal power plant;15814;Industrial point source;;Córdoba;;;CAMMESA;;275.482;;;;2021
GEN.MEDITERRANEA (CONT.PLUS);;Thermal power plant;36744;Industrial point source;;Córdoba;-33.15913174;-64.36424725;CAMMESA;;120;;;;2021
GEN.MEDITERRANEA GRUPO 5;;Thermal power plant;27675;Industrial point source;;Córdoba;-33.15913174;-64.36424725;CAMMESA;;60;;;;2021
GENELBA - PETROBRAS;;Thermal power plant;1898589;Industrial point source;;Buenos Aires;-34.9038311;-58.73254676;CAMMESA;;684.4;;;;2021
GENELBA - RES.287;;Thermal power plant;1396334;Industrial point source;;Buenos Aires;-34.9038311;-58.73254676;CAMMESA;;381.19;;;;2021
GENERACION FRIAS S.A.;;Thermal power plant;15755;Industrial point source;;Santiago del Estero;-28.56386859;-65.12249001;CAMMESA;;60;;;;2021
GENERACION INDEPENDENCIA S.A.;;Thermal power plant;28961;Industrial point source;;Tucumán;-26.86672994;-65.22196012;CAMMESA;;120;;;;2021
GENERACION LA BANDA S.A.;;Thermal power plant;2514;Industrial point source;;Santiago del Estero;-27.7529612;-64.26512026;CAMMESA;;26;;;;2021
GENERACION MEDITERRANEA;;Thermal power plant;6470;Industrial point source;;Córdoba;-32.94821426;-64.37649144;CAMMESA;;68;;;;2021
GENERACION MEDITERRANEA 220;;Thermal power plant;31381;Industrial point source;;Córdoba;-32.94821426;-64.37649144;CAMMESA;;94.961;;;;2021
GENERACION RIOJANA SA;;Thermal power plant;13132;Industrial point source;;La Rioja;-29.38221469;-66.83430162;CAMMESA;;88;;;;2021
GENERADORA Córdoba S.A.;;Thermal power plant;1537;Industrial point source;;Córdoba;-32.13195934;-64.15615033;CAMMESA;;26;;;;2021
GENERADORA ELEC.Tucumán SA;;Thermal power plant;9198;Industrial point source;;Tucumán;-26.99427143;-65.16588094;CAMMESA;;232;;;;2021
HIDROTERMICA SAN JUAN;;Thermal power plant;6068;Industrial point source;;San Juan;-31.51232265;-68.53794739;CAMMESA;;30;;;;2021
LA PLATA COGENERACION SA;;Thermal power plant;339665;Industrial point source;;Buenos Aires;-34.88934876;-57.92261647;CAMMESA;;128;;;;2021
LEDESMA SAAI;;Thermal power plant;7544;Industrial point source;;Jujuy;-23.82178298;-64.78451309;CAMMESA;;;;;;2021
LUJAN DE CUYO COGENERAC.PUERTO;;Thermal power plant;265976;Industrial point source;;Mendoza;-33.05228875;-68.97986675;CAMMESA;;95.32;;;;2021
MOLINOS AGRO AG.(Ex.Mol Rio P);;Thermal power plant;222;Industrial point source;;Santa Fe;;;CAMMESA;;;;;;2021
MOTOGENERADORES COSTANERA;;Thermal power plant;47985;Industrial point source;;Buenos Aires;-34.62294757;-58.34179446;CAMMESA;;35.6;;;;2021
NIDERA SAFORCADA-Junin;;Thermal power plant;20;Industrial point source;;Buenos Aires;-34.58607819;-34.58607819;CAMMESA;;;;;;2021
PAMPA ENERGIA SA;;Thermal power plant;78724;Industrial point source;;Salta;-24.68842844;-65.04387511;CAMMESA;;295.25;;;;2021
REFINERIA LA PLATA AUTOG;;Thermal power plant;10998;Industrial point source;;Buenos Aires;-34.88980716;-57.92284166;CAMMESA;;;;;;2021
SHELL CAPSA PTA. DOCK SUD;;Thermal power plant;25501;Industrial point source;;Buenos Aires;-34.65330519;-58.34357618;CAMMESA;;;;;;2021
SIDERAR PTA. IND. SAN NICOLAS;;Thermal power plant;31;Industrial point source;;Buenos Aires;-33.35478022;-60.1730117;CAMMESA;;;;;;2021
SINOPEC Arg. - El Huemul;;Thermal power plant;29407;Industrial point source;;Santa Cruz;-49.33023006;-72.88361232;CAMMESA;;;;;;2021
SINOPEC Arg. - Meseta Espinosa;;Thermal power plant;13683;Industrial point source;;Santa Cruz;;;CAMMESA;;;;;;2021
SOLALBAN ENERGIA SA;;Thermal power plant;42405;Industrial point source;;Buenos Aires;-38.78541148;-62.25754249;CAMMESA;;;;;;2021
TERMINAL 6 COGENERACION PUERTO;;Thermal power plant;209988;Industrial point source;;Santa Fe;-32.66237097;-60.74916497;CAMMESA;;380.04;;;;2021
TERMOELE. JOSE SAN MARTIN S.A;;Thermal power plant;2045982;Industrial point source;;Santa Fe;-32.57020631;-60.79050355;CAMMESA;;865.14;;;;2021
TERMOELECTRICA GUILLERMO BROWN;;Thermal power plant;1021465;Industrial point source;;Buenos Aires;-38.68206102;-62.42135034;CAMMESA;;582.6;;;;2021
TERMOELECTRICA M.BELGRANO S.A.;;Thermal power plant;2150020;Industrial point source;;Buenos Aires;-34.14974236;-59.00582295;CAMMESA;;873;;;;2021
YAC.ENTRE LOMAS AUTOGENERADOR;;Thermal power plant;27680;Industrial point source;;Río Negro;-38.13400181;-68.00363319;CAMMESA;;;;;;2021
YPF Autogenerador Pza. Huincul;;Thermal power plant;161867;Industrial point source;;Neuquén;-38.92994561;-69.16904786;CAMMESA;;;;;;2021
YPF CT MANANTIALES BEHR II AG;;Thermal power plant;8767;Industrial point source;;Chubut;-45.63426933;-67.80866884;CAMMESA;;;;;;2021
YPF EL TREBOL CT MANANT. BEHR;;Thermal power plant;6;Industrial point source;;Chubut;-45.67203528;-67.75657658;CAMMESA;;;;;;2021
YPF ENERGÍA ELECTR.ex PLUSPETG;;Thermal power plant;1400041;Industrial point source;;Tucumán;;;CAMMESA;;829;;;;2021
YPF LA PLATA COGENERACION;;Thermal power plant;228277;Industrial point source;;Buenos Aires;-34.89017736;-57.92279843;CAMMESA;;90.2;;;;2021
YPF LOS PERALES AUTOG;;Thermal power plant;68352;Industrial point source;;Santa Cruz;-46.1958354;-69.26507537;CAMMESA;;;;;;2021
YPF YAC P.HERNANDEZ AUTOG;;Thermal power plant;26;Industrial point source;;Neuquén;-37.29578133;-69.06655773;CAMMESA;;;;;;2021
BIOGAS CT AVELLANEDA SECCO;;Biogas Power Plant;41391;Biogenic point source;;Santa Fe;-29.1177703;-59.64047481;CAMMESA/Bio4;Electrical energy;6.3;;;;2022
CENTRAL BIOELECTRICA R.CUARTO1;;Biogas Power Plant;13140;Biogenic point source;;Córdoba;-33.17984121;-64.3831869;CAMMESA/Bio4;Electrical energy;2;;;;2022
C.BIOELECT.R.CUARTO1 REN2;;Biogas Power Plant;10249.2;Biogenic point source;;Córdoba;-33.17824283;-64.37979659;CAMMESA/Bio4;Electrical energy;1.56;;;;2022
C.BIOELECT.R.CUARTO2 REN1;;Biogas Power Plant;7884;Biogenic point source;;Córdoba;-33.18287626;-64.38488206;CAMMESA/Bio4;Electrical energy;1.2;;;;2022
C.BIOELECT.R.CUARTO2 REN2;;Biogas Power Plant;7884;Biogenic point source;;Córdoba;-33.18400764;-64.38492497;CAMMESA/Bio4;Electrical energy;1.2;;;;2022
BIOGAS CTBG CITRUSVIL-ALCOVIL;;Biogas Power Plant;19710;Biogenic point source;;Tucumán;-26.84580608;-65.13499577;CAMMESA/Bio4;Electrical energy;3;;;;2022
BIOGAS RS CT ENSENADA SECCO;;Biogas Power Plant;34821;Biogenic point source;;Buenos Aires;-34.86081282;-57.96314619;CAMMESA/Bio4;Electrical energy;5.3;;;;2022
CTBG GENERAL ALVEAR;;Biogas Power Plant;6570;Biogenic point source;;Buenos Aires;-36.01532605;-60.10616456;CAMMESA/Bio4;Electrical energy;1;;;;2022
BIOGAS CTBG GIGENA I;;Biogas Power Plant;7884;Biogenic point source;;Córdoba;-32.78552086;-64.19518873;CAMMESA/Bio4;Electrical energy;1.2;;;;2022
BIOGAS CTBG JUSTO DARACT;;Biogas Power Plant;6570;Biogenic point source;;San Luis;-33.9234622;-65.15093963;CAMMESA/Bio4;Electrical energy;1;;;;2022
BIOGAS CTBG PACUCA BIO ENERGÍA;;Biogas Power Plant;6570;Biogenic point source;;Buenos Aires;-35.38242174;-59.44253713;CAMMESA/Bio4;Electrical energy;1;;;;2022
BIOGAS CTBG PERGAMINO;;Biogas Power Plant;15768;Biogenic point source;;Buenos Aires;-33.92388171;-60.53821415;CAMMESA/Bio4;Electrical energy;2.4;;;;2022
C.T.SAN MARTIN NORTE 3A;;Biogas Power Plant;33507;Biogenic point source;;Buenos Aires;-34.5315305;-58.6087694;CAMMESA/Bio4;Electrical energy;5.1;;;;2022
CT SAN MIGUEL NORTE III-ENARSA;;Biogas Power Plant;75555;Biogenic point source;;Buenos Aires;-34.52484812;-58.61664438;CAMMESA/Bio4;Electrical energy;11.5;;;;2022
ENERGIA AGRO S.A.U;;Biogas Power Plant;9296.55;Biogenic point source;;Santa Fe;-34.18229245;-62.05263989;CAMMESA/Bio4;Electrical energy;1.415;;;;2022
BIOGAS CTBG TIGONBU;;Biogas Power Plant;13140;Biogenic point source;;San Luis;-34.7468824;-65.24745477;CAMMESA/Bio4;Electrical energy;2;;;;2022
BIOGAS CTBG VILLA DEL ROS. CGY;;Biogas Power Plant;6570;Biogenic point source;;Córdoba;-31.57330076;-63.55084309;CAMMESA/Bio4;Electrical energy;1;;;;2022
BIOGAS CTBG VENADO TUERTO;;Biogas Power Plant;13797;Biogenic point source;;Santa Fe;-33.69118337;-62.04103717;CAMMESA/Bio4;Electrical energy;2.1;;;;2022
BIO ENERGÍA YANQUETRUZ S.A.;;Biogas Power Plant;9855;Biogenic point source;;San Luis;-33.3801343;-65.58307536;CAMMESA/Bio4;Electrical energy;1.5;;;;2022
BIOGAS CTBG ENRECO;;Biogas Power Plant;13140;Biogenic point source;;Córdoba;-33.41661903;-62.48488564;CAMMESA/Bio4;Electrical energy;2;;;;2022
CTBG BIO ENERGÍA YANQUETRUZ II;;Biogas Power Plant;5256;Biogenic point source;;San Luis;-33.37826423;-65.56900085;CAMMESA/Bio4;Electrical energy;0.8;;;;2022
CTBG BIO. SANTA CATALINA;;Biogas Power Plant;13140;Biogenic point source;;Córdoba;-33.17284854;-64.40235703;CAMMESA/Bio4;Electrical energy;2;;;;2022
BIOGAS CTBG AB ENERGÍA;;Biogas Power Plant;13140;Biogenic point source;;La Pampa;-37.7688202;-67.70917058;CAMMESA/Bio4;Electrical energy;2;;;;2022
CT BIOMASA MM BIOENERGÍA;;Biogas Power Plant;19710;Biogenic point source;;Misiones;-27.62976944;-55.43596538;CAMMESA/Bio4;Electrical energy;3;;;;2022
CTBRS SAN MARTÍN NORTE III-D;;Biogas Power Plant;33507;Biogenic point source;;Buenos Aires;-34.52028708;-58.62735174;CAMMESA/Bio4;Electrical energy;5.1;;;;2022
BIOGAS CTBG ARRE BEEF SA;;Biogas Power Plant;9855;Biogenic point source;;Buenos Aires;-33.76336033;-60.09148466;CAMMESA/Bio4;Electrical energy;1.5;;;;2022
BIOGAS CT RESENER SA;;Biogas Power Plant;5256;Biogenic point source;;Buenos Aires;-38.69554547;-62.46569561;CAMMESA/Bio4;Electrical energy;0.8;;;;2022
CTBG POLLOS SAN MATEO;;Biogas Power Plant;15768;Biogenic point source;;Córdoba;-31.19186042;-64.28926368;CAMMESA/Bio4;Electrical energy;2.4;;;;2022
CTBG GENERAL VILLEGAS Ren 2;;Biogas Power Plant;8015.4;Biogenic point source;;Buenos Aires;-34.99825504;-62.99354435;CAMMESA/Bio4;Electrical energy;1.22;;;;2022
YPF Plaza Huincul;YPF SA;Methanol;275370;Industrial point source;;Neuquén;-38.92880502;-69.18029111;IPA/Inventario GHG;Methanol;411000;;;Lurgi;2021
Arauco General San Martin;Arauco Argentina S.A. ;Methanol;33500;Industrial point source;;Santa Fe;-32.65892352;-60.73470953;IPA/Inventario GHG;Methanol;50000;;;Lurgi;2021
La Plata Refinery;YPF SA;Refinery;2224965.517;Industrial point source;;Buenos Aires;-34.88514453;-57.91350126;;Combustible;190000;;;;
Lujan de Cuyo Refinery;YPF SA;Refinery;1229586.207;Industrial point source;;Mendoza;-33.07089296;-68.97531701;;Combustible;105000;;;;
Plaza Huincul Refinery;YPF SA;Refinery;292758.6207;Industrial point source;;Neuquén;-38.9288127;-69.18736154;;Combustible;25000;;;;
Raizen Dock Sud;Raizen;Refinery;1171034.483;Industrial point source;;Buenos Aires;-34.64167707;-58.33684622;;Combustible;100000;;;;
Axion Campana Refinery;PAE;Refinery;1171034.483;Industrial point source;;Buenos Aires;-34.15453734;-58.95403325;;Combustible;100000;;;;
DAPSA;;Refinery;0;Industrial point source;;;;;;;;;;;
Dock Sud Refinery;;Refinery;0;Industrial point source;;;;;;;;;;;
REFINOR Campo Duran Refinery;;Refinery;351310.3448;Industrial point source;;Salta;-22.20022216;-63.66914578;;;30000;;;;
TRAFIGURA Bahia Blanca Refinery;;Refinery;351310.3448;Industrial point source;;Buenos Aires;-38.72155716;-62.29859593;;;30000;;;;
OIL Combustibles San Lorenzo Refinery;;Refinery;0;Industrial point source;;;;;;;0;;;;
PAMPA ENERGIA SA;;Etileno;25916;Industrial point source;Pto General San Martín;Santa Fe;-32.69234971;-60.73547591;IPA/Inventario GHG;Etileno;31000;;;Fish;2021
PBB Polisur S.A.;;Etileno;229900;Industrial point source;Bahia Blanca;Buenos Aires;-38.65309984;-62.28055105;IPA/Inventario GHG;Etileno;275000;;;Linde;2021
PBB Polisur S.A.;;Etileno;355300;Industrial point source;Bahia Blanca;Buenos Aires;-38.65309984;-62.28055105;IPA/Inventario GHG;Etileno;425000;;;CF Braun/Dow Chem.;2021
CT BIOMASA GARRUCHOS;;Biomass Power Plant;257714.3512;Biogenic point source;;Corrientes;-27.94617937;-56.00073193;;;36;255922.891;;;
CTBM. GENERACIÓN LAS JUNTURAS;;Biomass Power Plant;60021.67209;Biogenic point source;;Córdoba;-31.83992999;-63.44270922;;;0.6;59604.441;;;
CTBM INGENIO LEALES;;Biomass Power Plant;5855.11087;Biogenic point source;;Tucumán;-27.07223015;-65.23077638;;;2;5814.41;;;
CT BIOMASA SANTA ROSA CORRIENTES;;Biomass Power Plant;122490.2061;Biogenic point source;;Corrientes;-28.23787262;-58.06779436;;;15;121638.735;;;
CT BIOMASA LA ESCONDIDA CHACO;;Biomass Power Plant;40100.60094;Biogenic point source;;Chaco;-27.1024196;-59.44379683;;;10;39821.848;;;
CTBM BIOMASA UNITAN SEIS MEGA;;Biomass Power Plant;1307.533108;Biogenic point source;;Chaco;-27.37139972;-59.08705038;;;6.7;1298.444;;;
ALTO PARANA-PTO.PIRAY;;Biomass Power Plant;88234.82331;Biogenic point source;;Misiones;-26.47536011;-54.72039929;;;;87621.473;;;
ARCOR ING.LA PROVIDENCIA;;Biomass Power Plant;16590.35018;Biogenic point source;;Tucumán;-27.2644536;-65.56637912;;;;16475.025;;;
AZUCARERA JUAN M.TERAN SA;;Biomass Power Plant;6297.718587;Biogenic point source;;Tucumán;-27.45834206;-65.60604599;;;;6253.941;;;
CT BIOMASA MM BIOENERGÍA;;Biomass Power Plant;13977.00694;Biogenic point source;;Misiones;-27.63019753;-55.43580567;;;;13879.848;;;
CT PRODEMAN BIOENERGÍA;;Biomass Power Plant;60021.67209;Biogenic point source;;Córdoba;-32.79407682;-63.86537614;;;;59604.441;;;
ECO-ENERGIA S.A.BIOMASA;;Biomass Power Plant;18829.89501;Biogenic point source;;Misiones;-26.02800244;-54.58478971;;;;18699.002;;;
GENERACION TICINO BIOMASA SA;;Biomass Power Plant;25099.65022;Biogenic point source;;Córdoba;-32.70126887;-63.43327446;;;;24925.174;;;
Ingenio y Ref.S.Martin Tabacal;;Biomass Power Plant;98553.77889;Biogenic point source;;Salta;-23.2537127;-64.24116463;;;;97868.698;;;
NIDERA SAFORCADA-Junin;;Biomass Power Plant;12.292449;Biogenic point source;;Buenos Aires;-34.58638693;-61.03071103;;;;12.207;;;
PAPEL MISIONERO S.A.;;Biomass Power Plant;270.788342;Biogenic point source;;Misiones;-26.93529417;-55.12206674;;;;268.906;;;
